country_name,country_code,indicator_name,value,year
Canada,CAN,"Population ages 00-04, male (% of male population)",11.651914,1965-01-01 00:00:00
Canada,CAN,"Population ages 0-14, female (% of female population)",19.668031,1995-01-01 00:00:00
Canada,CAN,"Population ages 0-14, female (% of female population)",18.212861,2001-01-01 00:00:00
Canada,CAN,"Population ages 0-14, female (% of female population)",17.930977,2002-01-01 00:00:00
Canada,CAN,"Population ages 05-09, female (% of female population)",7.260478,1979-01-01 00:00:00
Canada,CAN,"Population ages 10-14, female (% of female population)",6.468425,2000-01-01 00:00:00
Canada,CAN,"Population ages 10-14, male (% of male population)",10.036275,1960-01-01 00:00:00
Canada,CAN,"Population ages 10-14, male (% of male population)",10.76682,1973-01-01 00:00:00
Canada,CAN,"Population ages 10-14, male (% of male population)",7.192956,1987-01-01 00:00:00
Canada,CAN,"Population ages 10-14, male (% of male population)",5.399078,2018-01-01 00:00:00
Canada,CAN,"Population ages 15-19, female (% of female population)",7.58121,1985-01-01 00:00:00
Canada,CAN,"Population ages 15-19, male (% of male population)",7.342591,1989-01-01 00:00:00
Canada,CAN,"Population ages 15-19, male (% of male population)",7.085523,2000-01-01 00:00:00
Canada,CAN,Population ages 15-64 (% of total population),69.044422,2004-01-01 00:00:00
Canada,CAN,"Population ages 15-64, female (% of female population)",61.031566,1969-01-01 00:00:00
Canada,CAN,"Population ages 15-64, male (% of male population)",68.700379,1996-01-01 00:00:00
Canada,CAN,"Population ages 20-24, female (% of female population)",9.749952,1980-01-01 00:00:00
Canada,CAN,"Population ages 20-24, female (% of female population)",6.707064,2005-01-01 00:00:00
Canada,CAN,"Population ages 20-24, female (% of female population)",6.076998,2020-01-01 00:00:00
Canada,CAN,"Population ages 20-24, male (% of male population)",9.66732,1977-01-01 00:00:00
Canada,CAN,"Population ages 25-29, female (% of female population)",9.082583,1990-01-01 00:00:00
Canada,CAN,"Population ages 30-34, male (% of male population)",6.116857,1970-01-01 00:00:00
Canada,CAN,"Population ages 35-39, female (% of female population)",6.817405,2007-01-01 00:00:00
Canada,CAN,"Population ages 35-39, male (% of male population)",8.540466,1992-01-01 00:00:00
Canada,CAN,"Population ages 35-39, male (% of male population)",6.939375,2008-01-01 00:00:00
Canada,CAN,"Population ages 40-44, female (% of female population)",8.392089,2000-01-01 00:00:00
Canada,CAN,"Population ages 40-44, female (% of female population)",6.978693,2010-01-01 00:00:00
Canada,CAN,"Population ages 40-44, female (% of female population)",6.518035,2020-01-01 00:00:00
Canada,CAN,"Population ages 40-44, male (% of male population)",6.535449,2020-01-01 00:00:00
Canada,CAN,"Population ages 45-49, female (% of female population)",5.507292,1966-01-01 00:00:00
Canada,CAN,"Population ages 45-49, female (% of female population)",5.330724,1976-01-01 00:00:00
Canada,CAN,"Population ages 45-49, female (% of female population)",7.094425,1996-01-01 00:00:00
Canada,CAN,"Population ages 50-54, female (% of female population)",7.26345,2006-01-01 00:00:00
Canada,CAN,"Population ages 50-54, male (% of male population)",5.129974,1977-01-01 00:00:00
Canada,CAN,"Population ages 50-54, male (% of male population)",7.270905,2006-01-01 00:00:00
Canada,CAN,"Population ages 55-59, female (% of female population)",4.491446,1996-01-01 00:00:00
Canada,CAN,"Population ages 55-59, female (% of female population)",7.116735,2014-01-01 00:00:00
Canada,CAN,"Population ages 60-64, female (% of female population)",4.096682,1997-01-01 00:00:00
Canada,CAN,"Population ages 60-64, male (% of male population)",5.669779,2010-01-01 00:00:00
Canada,CAN,Population ages 65 and above (% of total population),12.767504,2002-01-01 00:00:00
Canada,CAN,"Population ages 65 and above, female (% of female population)",16.194338,2012-01-01 00:00:00
Canada,CAN,"Population ages 65-69, female (% of female population)",3.136463,1974-01-01 00:00:00
Canada,CAN,"Population ages 65-69, female (% of female population)",4.013026,1988-01-01 00:00:00
Canada,CAN,"Population ages 65-69, female (% of female population)",5.37119,2015-01-01 00:00:00
Canada,CAN,"Population ages 70-74, female (% of female population)",3.489482,1993-01-01 00:00:00
Canada,CAN,"Population ages 70-74, male (% of male population)",3.04217,2002-01-01 00:00:00
Canada,CAN,"Population ages 75-79, female (% of female population)",1.690659,1968-01-01 00:00:00
Canada,CAN,"Population ages 75-79, male (% of male population)",1.454107,1961-01-01 00:00:00
Canada,CAN,"Population ages 75-79, male (% of male population)",1.812185,1993-01-01 00:00:00
Canada,CAN,"Population ages 75-79, male (% of male population)",2.588923,2016-01-01 00:00:00
Canada,CAN,"Population ages 80 and above, male (% of male population)",1.253064,1965-01-01 00:00:00
Canada,CAN,"Population ages 80 and above, male (% of male population)",1.799588,1995-01-01 00:00:00
Canada,CAN,Population growth (annual %),0.995457,1978-01-01 00:00:00
Canada,CAN,"Population, female (% of total population)",49.936881,1974-01-01 00:00:00
Canada,CAN,Prevalence of anemia among non-pregnant women (% of women ages 15-49),8.5,2010-01-01 00:00:00
Canada,CAN,Prevalence of anemia among women of reproductive age (% of women ages 15-49),9.3,2000-01-01 00:00:00
Canada,CAN,"Prevalence of current tobacco use, females (% of female adults)",21.6,2007-01-01 00:00:00
Canada,CAN,"Prevalence of overweight, female (% of female adults)",57.5,2014-01-01 00:00:00
Canada,CAN,"Prevalence of overweight, male (% of male adults)",63.9,2004-01-01 00:00:00
Canada,CAN,"Probability of dying among adolescents ages 15-19 years (per 1,000)",2.2,2005-01-01 00:00:00
Canada,CAN,"Probability of dying among adolescents ages 15-19 years (per 1,000)",1.8,2012-01-01 00:00:00
Canada,CAN,Risk of catastrophic expenditure for surgical care (% of people at risk),0.4,2010-01-01 00:00:00
Canada,CAN,Risk of catastrophic expenditure for surgical care (% of people at risk),0.4,2016-01-01 00:00:00
Canada,CAN,Rural population (% of total population),26.358,1966-01-01 00:00:00
Canada,CAN,Rural population (% of total population),24.346,1970-01-01 00:00:00
Canada,CAN,Rural population (% of total population),20.522,2000-01-01 00:00:00
Canada,CAN,"School enrollment, primary (% gross)",97.232208,1974-01-01 00:00:00
Canada,CAN,"School enrollment, primary (% gross)",98.390923,1976-01-01 00:00:00
Canada,CAN,"School enrollment, primary (% gross)",99.474113,1981-01-01 00:00:00
Canada,CAN,"School enrollment, primary (% net)",95.10443,1985-01-01 00:00:00
Canada,CAN,"School enrollment, primary, female (% gross)",99.775192,1998-01-01 00:00:00
Canada,CAN,"School enrollment, primary, female (% gross)",98.01963,2004-01-01 00:00:00
Canada,CAN,"School enrollment, primary, male (% gross)",102.492233,1995-01-01 00:00:00
Canada,CAN,"School enrollment, primary, male (% net)",95.36567,1985-01-01 00:00:00
Canada,CAN,"School enrollment, secondary (% gross)",94.984573,1983-01-01 00:00:00
Canada,CAN,"School enrollment, secondary (% gross)",105.152473,1995-01-01 00:00:00
Canada,CAN,"School enrollment, secondary, female (% gross)",89.194229,1979-01-01 00:00:00
Canada,CAN,"School enrollment, secondary, female (% gross)",109.615318,2013-01-01 00:00:00
Canada,CAN,"School enrollment, secondary, male (% gross)",99.030708,1985-01-01 00:00:00
Canada,CAN,Share of women employed in the nonagricultural sector (% of total nonagricultural employment),50.2,2010-01-01 00:00:00
Canada,CAN,"Suicide mortality rate, male (per 100,000 male population)",18.8,2001-01-01 00:00:00
Canada,CAN,"Survival to age 65, female (% of cohort)",82.797332,1969-01-01 00:00:00
Canada,CAN,"Survival to age 65, female (% of cohort)",90.81293,2006-01-01 00:00:00
Canada,CAN,"Survival to age 65, male (% of cohort)",71.311894,1974-01-01 00:00:00
Canada,CAN,"Tuberculosis death rate (per 100,000 people)",0.3,2013-01-01 00:00:00
Canada,CAN,"Unemployment, female (% of female labor force)",8.92,1997-01-01 00:00:00
Canada,CAN,"Unemployment, total (% of total labor force)",6.91,2014-01-01 00:00:00
Canada,CAN,Urban population growth (annual %),3.001383,1964-01-01 00:00:00
Canada,CAN,Urban population growth (annual %),1.187724,2020-01-01 00:00:00
Cayman Islands,CYM,"Birth rate, crude (per 1,000 people)",9.9,2017-01-01 00:00:00
Cayman Islands,CYM,"Death rate, crude (per 1,000 people)",3.1,1998-01-01 00:00:00
Cayman Islands,CYM,Population growth (annual %),5.954479,1997-01-01 00:00:00
Cayman Islands,CYM,"School enrollment, secondary (% gross)",81.256508,2002-01-01 00:00:00
Central African Republic,CAF,"Age at first marriage, male",24.1,1988-01-01 00:00:00
Central African Republic,CAF,Age dependency ratio (% of working-age population),89.941466,1988-01-01 00:00:00
Central African Republic,CAF,Age dependency ratio (% of working-age population),92.44021,2015-01-01 00:00:00
Central African Republic,CAF,Age dependency ratio (% of working-age population),86.358077,2020-01-01 00:00:00
Central African Republic,CAF,"Age dependency ratio, old",8.232492,1980-01-01 00:00:00
Central African Republic,CAF,"Age dependency ratio, old",6.637944,2000-01-01 00:00:00
Central African Republic,CAF,"Cause of death, by non-communicable diseases (% of total)",26.689704,2000-01-01 00:00:00
Central African Republic,CAF,Current health expenditure (% of GDP),4.02794,2008-01-01 00:00:00
Central African Republic,CAF,Current health expenditure per capita (current US$),29.980169,2017-01-01 00:00:00
Central African Republic,CAF,"Current health expenditure per capita, PPP (current international $)",33.114231,2013-01-01 00:00:00
Central African Republic,CAF,"Death rate, crude (per 1,000 people)",12.671,2017-01-01 00:00:00
Central African Republic,CAF,Domestic general government health expenditure (% of GDP),0.378472,2011-01-01 00:00:00
Central African Republic,CAF,"Domestic general government health expenditure per capita, PPP (current international $)",11.05546,2003-01-01 00:00:00
Central African Republic,CAF,External health expenditure (% of current health expenditure),7.157207,2001-01-01 00:00:00
Central African Republic,CAF,External health expenditure channeled through government (% of external health expenditure),24.797882,2013-01-01 00:00:00
Central African Republic,CAF,External health expenditure per capita (current US$),7.181873,2016-01-01 00:00:00
Central African Republic,CAF,"Life expectancy at birth, male (years)",44.763,2008-01-01 00:00:00
Central African Republic,CAF,"Life expectancy at birth, total (years)",44.857,1998-01-01 00:00:00
Central African Republic,CAF,"Literacy rate, adult female (% of females ages 15 and above)",35.290901,2000-01-01 00:00:00
Central African Republic,CAF,"Literacy rate, adult male (% of males ages 15 and above)",48.020302,1988-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, adult, male (per 1,000 male adults)",468.933,1969-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, adult, male (per 1,000 male adults)",436.178,1991-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, infant (per 1,000 live births)",114.2,1993-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, infant, female (per 1,000 live births)",142.4,1965-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, infant, male (per 1,000 live births)",148.5,1969-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, neonatal (per 1,000 live births)",49.4,2000-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, under-5 (per 1,000)",254.2,1965-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, under-5 (per 1,000)",173.8,1996-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, under-5, female (per 1,000)",246.5,1965-01-01 00:00:00
Central African Republic,CAF,"Mortality rate, under-5, male (per 1,000)",184.2,1986-01-01 00:00:00
Central African Republic,CAF,Out-of-pocket expenditure per capita (current US$),8.296927,2006-01-01 00:00:00
Central African Republic,CAF,Out-of-pocket expenditure per capita (current US$),16.91358,2017-01-01 00:00:00
Central African Republic,CAF,"Out-of-pocket expenditure per capita, PPP (current international $)",17.514154,2014-01-01 00:00:00
Central African Republic,CAF,"People practicing open defecation, rural (% of rural population)",38.372523,2019-01-01 00:00:00
Central African Republic,CAF,People using at least basic drinking water services (% of population),53.172554,2005-01-01 00:00:00
Central African Republic,CAF,People using at least basic drinking water services (% of population),39.227548,2018-01-01 00:00:00
Central African Republic,CAF,People using at least basic sanitation services (% of population),14.481982,2019-01-01 00:00:00
Central African Republic,CAF,"People using at least basic sanitation services, urban  (% of urban population)",34.172713,2009-01-01 00:00:00
Central African Republic,CAF,"People using safely managed sanitation services, rural (% of rural population)",8.888297,2006-01-01 00:00:00
Central African Republic,CAF,"People using safely managed sanitation services, rural (% of rural population)",6.129076,2019-01-01 00:00:00
Central African Republic,CAF,"People with basic handwashing facilities including soap and water, urban (% of urban population)",28.283339,2015-01-01 00:00:00
Central African Republic,CAF,"Population ages 0-14, female (% of female population)",42.31937,1987-01-01 00:00:00
Central African Republic,CAF,"Population ages 0-14, female (% of female population)",43.66212,2018-01-01 00:00:00
Central African Republic,CAF,"Population ages 0-14, male (% of male population)",40.899074,1970-01-01 00:00:00
Central African Republic,CAF,"Population ages 0-14, male (% of male population)",44.648712,1991-01-01 00:00:00
Central African Republic,CAF,"Population ages 05-09, female (% of female population)",14.075587,1996-01-01 00:00:00
Central African Republic,CAF,"Population ages 05-09, male (% of male population)",14.814556,1993-01-01 00:00:00
Central African Republic,CAF,"Population ages 10-14, female (% of female population)",10.618807,1966-01-01 00:00:00
Central African Republic,CAF,"Population ages 10-14, male (% of male population)",11.81651,1987-01-01 00:00:00
Central African Republic,CAF,"Population ages 10-14, male (% of male population)",12.455346,2004-01-01 00:00:00
Central African Republic,CAF,"Population ages 15-19, female (% of female population)",11.810295,2017-01-01 00:00:00
Central African Republic,CAF,"Population ages 15-19, male (% of male population)",9.440915,1970-01-01 00:00:00
Central African Republic,CAF,"Population ages 15-19, male (% of male population)",10.933563,2007-01-01 00:00:00
Central African Republic,CAF,"Population ages 15-19, male (% of male population)",11.06911,2012-01-01 00:00:00
Central African Republic,CAF,"Population ages 20-24, female (% of female population)",8.141073,1961-01-01 00:00:00
Central African Republic,CAF,"Population ages 20-24, male (% of male population)",8.887779,1994-01-01 00:00:00
Central African Republic,CAF,"Population ages 20-24, male (% of male population)",9.27123,2011-01-01 00:00:00
Central African Republic,CAF,"Population ages 25-29, female (% of female population)",6.742696,1979-01-01 00:00:00
Central African Republic,CAF,"Population ages 25-29, male (% of male population)",7.464948,2020-01-01 00:00:00
Central African Republic,CAF,"Population ages 30-34, female (% of female population)",6.307281,1971-01-01 00:00:00
Central African Republic,CAF,"Population ages 30-34, female (% of female population)",5.558712,1981-01-01 00:00:00
Central African Republic,CAF,"Population ages 35-39, female (% of female population)",5.020563,2011-01-01 00:00:00
Central African Republic,CAF,"Population ages 35-39, female (% of female population)",4.770465,2014-01-01 00:00:00
Central African Republic,CAF,"Population ages 35-39, male (% of male population)",5.809537,1961-01-01 00:00:00
Central African Republic,CAF,"Population ages 35-39, male (% of male population)",5.173259,2003-01-01 00:00:00
Central African Republic,CAF,"Population ages 50-54, male (% of male population)",2.460683,2003-01-01 00:00:00
Central African Republic,CAF,"Population ages 55-59, female (% of female population)",3.107658,1972-01-01 00:00:00
Central African Republic,CAF,"Population ages 60-64, female (% of female population)",2.769,1964-01-01 00:00:00
Central African Republic,CAF,"Population ages 60-64, female (% of female population)",2.600394,1974-01-01 00:00:00
Central African Republic,CAF,"Population ages 60-64, female (% of female population)",2.357532,1989-01-01 00:00:00
Central African Republic,CAF,"Population ages 60-64, male (% of male population)",1.539974,2005-01-01 00:00:00
Central African Republic,CAF,Population ages 65 and above (% of total population),4.224984,1983-01-01 00:00:00
Central African Republic,CAF,"Population ages 65 and above, female (% of female population)",3.810851,2006-01-01 00:00:00
Central African Republic,CAF,"Population ages 65-69, male (% of male population)",1.733617,1980-01-01 00:00:00
Central African Republic,CAF,"Population ages 65-69, male (% of male population)",0.986688,2016-01-01 00:00:00
Central African Republic,CAF,"Population ages 70-74, male (% of male population)",1.253377,1976-01-01 00:00:00
Central African Republic,CAF,"Population ages 75-79, female (% of female population)",0.67509,2011-01-01 00:00:00
Central African Republic,CAF,"Population ages 80 and above, male (% of male population)",0.495843,1972-01-01 00:00:00
Central African Republic,CAF,"Population ages 80 and older, female (% of female population)",0.497411,1996-01-01 00:00:00
Central African Republic,CAF,Population growth (annual %),1.611079,1961-01-01 00:00:00
Central African Republic,CAF,Population growth (annual %),1.765246,1988-01-01 00:00:00
Central African Republic,CAF,Population growth (annual %),2.513225,1997-01-01 00:00:00
Central African Republic,CAF,"Population, female (% of total population)",50.779347,1965-01-01 00:00:00
Central African Republic,CAF,"Population, female (% of total population)",50.440875,2016-01-01 00:00:00
Central African Republic,CAF,"Population, male (% of total population)",49.241169,1989-01-01 00:00:00
Central African Republic,CAF,"Population, male (% of total population)",49.267243,1992-01-01 00:00:00
Central African Republic,CAF,"Population, male (% of total population)",49.297545,1999-01-01 00:00:00
Central African Republic,CAF,"Population, male (% of total population)",49.565527,2019-01-01 00:00:00
Central African Republic,CAF,Prevalence of anemia among women of reproductive age (% of women ages 15-49),50.9,2000-01-01 00:00:00
Central African Republic,CAF,"Prevalence of HIV, female (% ages 15-24)",1.4,2018-01-01 00:00:00
Central African Republic,CAF,"Prevalence of HIV, male (% ages 15-24)",0.8,2018-01-01 00:00:00
Central African Republic,CAF,"Prevalence of severe wasting, weight for height, male (% of children under 5)",2.2,2010-01-01 00:00:00
Central African Republic,CAF,"Primary completion rate, total (% of relevant age group)",30.292191,1982-01-01 00:00:00
Central African Republic,CAF,"Probability of dying among adolescents ages 15-19 years (per 1,000)",11.3,2019-01-01 00:00:00
Central African Republic,CAF,"Probability of dying among youth ages 20-24 years (per 1,000)",27.8,1992-01-01 00:00:00
Central African Republic,CAF,Rural population growth (annual %),1.094848,1967-01-01 00:00:00
Central African Republic,CAF,Rural population growth (annual %),1.062597,1976-01-01 00:00:00
Central African Republic,CAF,"School enrollment, primary (% net)",51.41989,1978-01-01 00:00:00
Central African Republic,CAF,Sex ratio at birth (male births per female births),1.03,2019-01-01 00:00:00
Central African Republic,CAF,"Suicide mortality rate, female (per 100,000 female population)",9.4,2000-01-01 00:00:00
Central African Republic,CAF,"Suicide mortality rate, female (per 100,000 female population)",7.1,2011-01-01 00:00:00
Central African Republic,CAF,"Suicide mortality rate, female (per 100,000 female population)",5.4,2017-01-01 00:00:00
Central African Republic,CAF,"Survival to age 65, male (% of cohort)",39.045677,1982-01-01 00:00:00
Central African Republic,CAF,Urban population (% of total population),36.744,1989-01-01 00:00:00
Central African Republic,CAF,Urban population (% of total population),37.475,1998-01-01 00:00:00
Central African Republic,CAF,Urban population (% of total population),37.72,2001-01-01 00:00:00
Chad,TCD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",181.792,2011-01-01 00:00:00
Chad,TCD,Age dependency ratio (% of working-age population),92.130199,1977-01-01 00:00:00
Chad,TCD,"Age dependency ratio, old",6.922926,1974-01-01 00:00:00
Chad,TCD,"Age dependency ratio, old",6.718137,1987-01-01 00:00:00
Chad,TCD,"Age dependency ratio, old",5.681348,2004-01-01 00:00:00
Chad,TCD,"Age dependency ratio, old",5.341974,2009-01-01 00:00:00
Chad,TCD,"Birth rate, crude (per 1,000 people)",51.414,1995-01-01 00:00:00
Chad,TCD,"Cause of death, by non-communicable diseases (% of total)",23.273135,2010-01-01 00:00:00
Chad,TCD,"Completeness of birth registration, urban (%)",35.1,2004-01-01 00:00:00
Chad,TCD,Current health expenditure (% of GDP),4.343134,2007-01-01 00:00:00
Chad,TCD,"Current health expenditure per capita, PPP (current international $)",64.428078,2003-01-01 00:00:00
Chad,TCD,"Death rate, crude (per 1,000 people)",21.516,1977-01-01 00:00:00
Chad,TCD,Domestic general government health expenditure (% of current health expenditure),17.001442,2018-01-01 00:00:00
Chad,TCD,Domestic general government health expenditure per capita (current US$),11.164231,2013-01-01 00:00:00
Chad,TCD,External health expenditure per capita (current US$),4.786105,2011-01-01 00:00:00
Chad,TCD,"Fertility rate, total (births per woman)",7.315,2001-01-01 00:00:00
Chad,TCD,"Fertility rate, total (births per woman)",6.049,2015-01-01 00:00:00
Chad,TCD,"Human capital index (HCI), male (scale 0-1)",0.306945,2018-01-01 00:00:00
Chad,TCD,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.51,2017-01-01 00:00:00
Chad,TCD,"Incidence of HIV, all (per 1,000 uninfected population)",0.3,2018-01-01 00:00:00
Chad,TCD,"Life expectancy at birth, female (years)",41.485,1967-01-01 00:00:00
Chad,TCD,"Life expectancy at birth, female (years)",45.38,1978-01-01 00:00:00
Chad,TCD,"Life expectancy at birth, male (years)",41.404,1973-01-01 00:00:00
Chad,TCD,"Life expectancy at birth, male (years)",45.798,1990-01-01 00:00:00
Chad,TCD,"Life expectancy at birth, total (years)",53.977,2018-01-01 00:00:00
Chad,TCD,Lifetime risk of maternal death (%),8.463112,2010-01-01 00:00:00
Chad,TCD,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",24.6,2012-01-01 00:00:00
Chad,TCD,"Mortality rate, adult, female (per 1,000 female adults)",335.375,2017-01-01 00:00:00
Chad,TCD,"Mortality rate, adult, male (per 1,000 male adults)",458.967,1971-01-01 00:00:00
Chad,TCD,"Mortality rate, infant (per 1,000 live births)",95.9,2003-01-01 00:00:00
Chad,TCD,"Mortality rate, infant, female (per 1,000 live births)",107.1,1987-01-01 00:00:00
Chad,TCD,"Mortality rate, infant, male (per 1,000 live births)",134.6,1976-01-01 00:00:00
Chad,TCD,"Mortality rate, infant, male (per 1,000 live births)",93.5,2009-01-01 00:00:00
Chad,TCD,"Mortality rate, infant, male (per 1,000 live births)",86.2,2013-01-01 00:00:00
Chad,TCD,"Mortality rate, infant, male (per 1,000 live births)",80.9,2016-01-01 00:00:00
Chad,TCD,"Mortality rate, neonatal (per 1,000 live births)",36.6,2013-01-01 00:00:00
Chad,TCD,"Nurses and midwives (per 1,000 people)",0.2567,2004-01-01 00:00:00
Chad,TCD,Out-of-pocket expenditure (% of current health expenditure),51.014065,2004-01-01 00:00:00
Chad,TCD,"People practicing open defecation, rural (% of rural population)",80.481848,2015-01-01 00:00:00
Chad,TCD,People using at least basic drinking water services (% of population),41.458688,2006-01-01 00:00:00
Chad,TCD,People using at least basic drinking water services (% of population),42.090691,2008-01-01 00:00:00
Chad,TCD,"People using at least basic drinking water services, rural (% of rural population)",30.485057,2002-01-01 00:00:00
Chad,TCD,"People using at least basic sanitation services, rural (% of rural population)",6.350864,2000-01-01 00:00:00
Chad,TCD,"People using at least basic sanitation services, rural (% of rural population)",5.315655,2009-01-01 00:00:00
Chad,TCD,"People using at least basic sanitation services, urban  (% of urban population)",34.069216,2015-01-01 00:00:00
Chad,TCD,"People using safely managed drinking water services, urban (% of urban population)",15.920587,2008-01-01 00:00:00
Chad,TCD,"People using safely managed drinking water services, urban (% of urban population)",16.285723,2011-01-01 00:00:00
Chad,TCD,"People using safely managed drinking water services, urban (% of urban population)",16.77257,2015-01-01 00:00:00
Chad,TCD,"People using safely managed sanitation services, urban  (% of urban population)",21.000414,2006-01-01 00:00:00
Chad,TCD,"Physicians (per 1,000 people)",0.0354,2004-01-01 00:00:00
Chad,TCD,"Population ages 00-04, female (% of female population)",19.98709,2000-01-01 00:00:00
Chad,TCD,"Population ages 00-04, female (% of female population)",19.609294,2008-01-01 00:00:00
Chad,TCD,"Population ages 00-04, female (% of female population)",17.855356,2019-01-01 00:00:00
Chad,TCD,Population ages 0-14 (% of total population),41.31575,1961-01-01 00:00:00
Chad,TCD,Population ages 0-14 (% of total population),44.348461,1977-01-01 00:00:00
Chad,TCD,Population ages 0-14 (% of total population),48.484183,1996-01-01 00:00:00
Chad,TCD,Population ages 0-14 (% of total population),48.818742,1999-01-01 00:00:00
Chad,TCD,"Population ages 0-14, female (% of female population)",46.718213,1989-01-01 00:00:00
Chad,TCD,"Population ages 0-14, male (% of male population)",46.520464,1982-01-01 00:00:00
Chad,TCD,"Population ages 0-14, male (% of male population)",48.136084,1990-01-01 00:00:00
Chad,TCD,"Population ages 0-14, male (% of male population)",49.611673,2002-01-01 00:00:00
Chad,TCD,"Population ages 0-14, male (% of male population)",49.434613,2008-01-01 00:00:00
Chad,TCD,"Population ages 05-09, female (% of female population)",13.682704,1976-01-01 00:00:00
Chad,TCD,"Population ages 05-09, female (% of female population)",15.73464,2015-01-01 00:00:00
Chad,TCD,"Population ages 05-09, male (% of male population)",15.37738,1986-01-01 00:00:00
Chad,TCD,"Population ages 10-14, female (% of female population)",11.605333,1971-01-01 00:00:00
Chad,TCD,"Population ages 10-14, female (% of female population)",12.184618,1988-01-01 00:00:00
Chad,TCD,"Population ages 10-14, female (% of female population)",13.208633,2011-01-01 00:00:00
Chad,TCD,"Population ages 10-14, male (% of male population)",13.402549,2012-01-01 00:00:00
Chad,TCD,"Population ages 15-19, female (% of female population)",10.023738,1975-01-01 00:00:00
Chad,TCD,"Population ages 15-19, male (% of male population)",9.796238,1981-01-01 00:00:00
Chad,TCD,Population ages 15-64 (% of total population),48.79559,2011-01-01 00:00:00
Chad,TCD,"Population ages 15-64, female (% of female population)",49.975258,1987-01-01 00:00:00
