year,County_of_Residence,Source_of_Payment,Births
2016-01-01,"York County, PA",Other,102
2016-01-01,"Berkeley County, SC",Other,325
2016-01-01,"Greenville County, SC",Other,38
2016-01-01,"Spartanburg County, SC",Other,57
2016-01-01,"York County, SC",Other,44
2016-01-01,"Unidentified Counties, SD",Other,309
2016-01-01,"Hamilton County, TN",Other,125
2016-01-01,"Sumner County, TN",Other,57
2016-01-01,"Williamson County, TN",Other,16
2016-01-01,"Comal County, TX",Other,49
2016-01-01,"Ellis County, TX",Other,10
2016-01-01,"Fort Bend County, TX",Other,132
2016-01-01,"Grayson County, TX",Other,25
2016-01-01,"McLennan County, TX",Other,10
2016-01-01,"Montgomery County, TX",Other,60
2016-01-01,"Smith County, TX",Other,33
2016-01-01,"Tarrant County, TX",Other,95
2016-01-01,"Taylor County, TX",Other,10
2016-01-01,"Travis County, TX",Other,206
2016-01-01,"Webb County, TX",Other,1673
2016-01-01,"Stafford County, VA",Other,41
2016-01-01,"Alexandria city, VA",Other,57
2016-01-01,"Hampton city, VA",Other,310
2016-01-01,"Richmond city, VA",Other,20
2016-01-01,"Benton County, WA",Other,17
2016-01-01,"Clark County, WA",Other,111
2016-01-01,"Cowlitz County, WA",Other,31
2016-01-01,"Unidentified Counties, WA",Other,752
2016-01-01,"Berkeley County, WV",Other,27
2016-01-01,"Kanawha County, WV",Other,30
2016-01-01,"Unidentified Counties, WV",Other,169
2016-01-01,"Brown County, WI",Other,38
2016-01-01,"Dane County, WI",Other,29
2016-01-01,"Kenosha County, WI",Other,57
2016-01-01,"Outagamie County, WI",Other,25
2016-01-01,"Racine County, WI",Other,34
2016-01-01,"Winnebago County, WI",Other,74
2016-01-01,"Unidentified Counties, WY",Other,309
2016-01-01,"Jefferson County, AL",Medicaid,3776
2016-01-01,"Madison County, AL",Medicaid,1727
2016-01-01,"Mobile County, AL",Medicaid,3083
2016-01-01,"Montgomery County, AL",Medicaid,1956
2016-01-01,"Tuscaloosa County, AL",Medicaid,1244
2016-01-01,"Alachua County, FL",Medicaid,1219
2016-01-01,"Escambia County, FL",Medicaid,2162
2016-01-01,"Okaloosa County, FL",Medicaid,888
2016-01-01,"Santa Rosa County, FL",Medicaid,720
2016-01-01,"Bibb County, GA",Medicaid,1475
2016-01-01,"Chatham County, GA",Medicaid,1644
2016-01-01,"Clarke County, GA",Medicaid,630
2016-01-01,"Fulton County, GA",Medicaid,4717
2016-01-01,"Houston County, GA",Medicaid,894
2016-01-01,"Lowndes County, GA",Medicaid,783
2016-01-01,"Muscogee County, GA",Medicaid,1514
2016-01-01,"Richmond County, GA",Medicaid,1835
2016-01-01,"Champaign County, IL",Medicaid,288
2016-01-01,"Kankakee County, IL",Medicaid,344
2016-01-01,"Peoria County, IL",Medicaid,1262
2016-01-01,"St. Clair County, IL",Medicaid,960
2016-01-01,"Clark County, IN",Medicaid,456
2016-01-01,"Vanderburgh County, IN",Medicaid,814
2016-01-01,"Douglas County, KS",Medicaid,314
2016-01-01,"Kenton County, KY",Medicaid,859
2016-01-01,"Unidentified Counties, KY",Medicaid,17426
2016-01-01,"Bossier Parish, LA",Medicaid,816
2016-01-01,"Caddo Parish, LA",Medicaid,2224
2016-01-01,"East Baton Rouge Parish, LA",Medicaid,3552
2016-01-01,"Orleans Parish, LA",Medicaid,3105
2016-01-01,"Ouachita Parish, LA",Medicaid,1505
2016-01-01,"Rapides Parish, LA",Medicaid,1246
2016-01-01,"Tangipahoa Parish, LA",Medicaid,1386
2016-01-01,"Terrebonne Parish, LA",Medicaid,1063
2016-01-01,"Unidentified Counties, LA",Medicaid,13684
2016-01-01,"Baltimore city, MD",Medicaid,4741
2016-01-01,"Genesee County, MI",Medicaid,2835
2016-01-01,"Harrison County, MS",Medicaid,1496
2016-01-01,"Hinds County, MS",Medicaid,2114
2016-01-01,"Jackson County, MS",Medicaid,899
2016-01-01,"Rankin County, MS",Medicaid,670
2016-01-01,"Unidentified Counties, MS",Medicaid,17240
2016-01-01,"St. Louis County, MO",Medicaid,3608
2016-01-01,"St. Louis city, MO",Medicaid,2484
2016-01-01,"Ocean County, NJ",Medicaid,3722
2016-01-01,"Orange County, NY",Medicaid,2669
2016-01-01,"Rockland County, NY",Medicaid,3417
2016-01-01,"Cumberland County, NC",Medicaid,2265
2016-01-01,"Pitt County, NC",Medicaid,1081
2016-01-01,"Allen County, OH",Medicaid,615
2016-01-01,"Cuyahoga County, OH",Medicaid,7334
2016-01-01,"Hamilton County, OH",Medicaid,4707
2016-01-01,"Mahoning County, OH",Medicaid,1420
2016-01-01,"Montgomery County, OH",Medicaid,3131
2016-01-01,"Comanche County, OK",Medicaid,800
2016-01-01,"Florence County, SC",Medicaid,1176
2016-01-01,"Horry County, SC",Medicaid,1780
2016-01-01,"Lexington County, SC",Medicaid,1313
2016-01-01,"Richland County, SC",Medicaid,2178
2016-01-01,"Unidentified Counties, SC",Medicaid,8191
2016-01-01,"Hamilton County, TN",Medicaid,2041
2016-01-01,"Rutherford County, TN",Medicaid,1483
2016-01-01,"Shelby County, TN",Medicaid,7879
2016-01-01,"Wilson County, TN",Medicaid,537
2016-01-01,"Bell County, TX",Medicaid,2344
2016-01-01,"Bexar County, TX",Medicaid,13846
2016-01-01,"Cameron County, TX",Medicaid,2738
2016-01-01,"Ector County, TX",Medicaid,1461
2016-01-01,"Gregg County, TX",Medicaid,519
2016-01-01,"Guadalupe County, TX",Medicaid,667
2016-01-01,"Hidalgo County, TX",Medicaid,10774
2016-01-01,"Taylor County, TX",Medicaid,1077
2016-01-01,"Tom Green County, TX",Medicaid,677
2016-01-01,"Webb County, TX",Medicaid,2125
2016-01-01,"Chesapeake city, VA",Medicaid,761
2016-01-01,"Norfolk city, VA",Medicaid,1263
2016-01-01,"Kanawha County, WV",Medicaid,1077
2016-01-01,"Fond du Lac County, WI",Medicaid,338
2016-01-01,"Racine County, WI",Medicaid,1142
2016-01-01,"Baldwin County, AL",Self Pay,61
2016-01-01,"Calhoun County, AL",Self Pay,24
2016-01-01,"Jefferson County, AL",Self Pay,245
2016-01-01,"Madison County, AL",Self Pay,65
2016-01-01,"Mobile County, AL",Self Pay,160
2016-01-01,"Montgomery County, AL",Self Pay,47
2016-01-01,"Tuscaloosa County, AL",Self Pay,103
2016-01-01,"Unidentified Counties, AL",Self Pay,430
2016-01-01,"Cochise County, AZ",Self Pay,64
2016-01-01,"Coconino County, AZ",Self Pay,60
2016-01-01,"Maricopa County, AZ",Self Pay,1742
2016-01-01,"Mohave County, AZ",Self Pay,60
2016-01-01,"Navajo County, AZ",Self Pay,32
2016-01-01,"Pinal County, AZ",Self Pay,137
2016-01-01,"Yavapai County, AZ",Self Pay,114
2016-01-01,"Unidentified Counties, AZ",Self Pay,100
2016-01-01,"Faulkner County, AR",Self Pay,25
2016-01-01,"Pulaski County, AR",Self Pay,59
2016-01-01,"Saline County, AR",Self Pay,17
2016-01-01,"Butte County, CA",Self Pay,52
2016-01-01,"El Dorado County, CA",Self Pay,40
2016-01-01,"Fresno County, CA",Self Pay,161
2016-01-01,"Humboldt County, CA",Self Pay,55
2016-01-01,"Kern County, CA",Self Pay,126
2016-01-01,"Madera County, CA",Self Pay,24
2016-01-01,"Marin County, CA",Self Pay,43
2016-01-01,"Merced County, CA",Self Pay,25
2016-01-01,"Napa County, CA",Self Pay,27
2016-01-01,"Placer County, CA",Self Pay,54
2016-01-01,"Sacramento County, CA",Self Pay,138
2016-01-01,"San Joaquin County, CA",Self Pay,81
2016-01-01,"San Luis Obispo County, CA",Self Pay,79
2016-01-01,"Santa Barbara County, CA",Self Pay,103
2016-01-01,"Santa Cruz County, CA",Self Pay,63
2016-01-01,"Shasta County, CA",Self Pay,49
2016-01-01,"Solano County, CA",Self Pay,36
2016-01-01,"Sonoma County, CA",Self Pay,103
2016-01-01,"Tulare County, CA",Self Pay,50
2016-01-01,"Ventura County, CA",Self Pay,154
2016-01-01,"Yolo County, CA",Self Pay,28
2016-01-01,"Unidentified Counties, CA",Self Pay,280
2016-01-01,"Adams County, CO",Self Pay,146
2016-01-01,"Boulder County, CO",Self Pay,96
2016-01-01,"Douglas County, CO",Self Pay,46
2016-01-01,"El Paso County, CO",Self Pay,197
2016-01-01,"Jefferson County, CO",Self Pay,114
2016-01-01,"Larimer County, CO",Self Pay,106
2016-01-01,"Pueblo County, CO",Self Pay,29
2016-01-01,"Weld County, CO",Self Pay,122
2016-01-01,"Unidentified Counties, CO",Self Pay,383
2016-01-01,"Litchfield County, CT",Self Pay,36
2016-01-01,"Middlesex County, CT",Self Pay,26
2016-01-01,"New Haven County, CT",Self Pay,280
2016-01-01,"New London County, CT",Self Pay,62
2016-01-01,"Windham County, CT",Self Pay,24
2016-01-01,"Kent County, DE",Self Pay,84
2016-01-01,"District of Columbia, DC",Self Pay,103
2016-01-01,"Bay County, FL",Self Pay,32
2016-01-01,"Charlotte County, FL",Self Pay,19
2016-01-01,"Citrus County, FL",Self Pay,19
2016-01-01,"Clay County, FL",Self Pay,47
2016-01-01,"Duval County, FL",Self Pay,258
2016-01-01,"Martin County, FL",Self Pay,34
2016-01-01,"Pasco County, FL",Self Pay,91
2016-01-01,"St. Lucie County, FL",Self Pay,32
2016-01-01,"Bartow County, GA",Self Pay,29
2016-01-01,"Carroll County, GA",Self Pay,89
2016-01-01,"Chatham County, GA",Self Pay,143
2016-01-01,"Coweta County, GA",Self Pay,48
2016-01-01,"Fayette County, GA",Self Pay,46
2016-01-01,"Houston County, GA",Self Pay,91
2016-01-01,"Muscogee County, GA",Self Pay,88
2016-01-01,"Richmond County, GA",Self Pay,59
2016-01-01,"Hawaii County, HI",Self Pay,82
2016-01-01,"Maui County, HI",Self Pay,51
2016-01-01,"Unidentified Counties, HI",Self Pay,18
2016-01-01,"Ada County, ID",Self Pay,135
2016-01-01,"Kootenai County, ID",Self Pay,106
2016-01-01,"DeKalb County, IL",Self Pay,13
2016-01-01,"McHenry County, IL",Self Pay,25
2016-01-01,"McLean County, IL",Self Pay,37
2016-01-01,"Macon County, IL",Self Pay,20
2016-01-01,"Peoria County, IL",Self Pay,35
2016-01-01,"St. Clair County, IL",Self Pay,29
2016-01-01,"Tazewell County, IL",Self Pay,30
2016-01-01,"Allen County, IN",Self Pay,240
2016-01-01,"Elkhart County, IN",Self Pay,392
2016-01-01,"Hendricks County, IN",Self Pay,44
2016-01-01,"Johnson County, IN",Self Pay,31
2016-01-01,"Marion County, IN",Self Pay,304
2016-01-01,"Monroe County, IN",Self Pay,83
2016-01-01,"Porter County, IN",Self Pay,30
2016-01-01,"Vanderburgh County, IN",Self Pay,28
2016-01-01,"Vigo County, IN",Self Pay,36
2016-01-01,"Unidentified Counties, IN",Self Pay,2148
2016-01-01,"Polk County, IA",Self Pay,175
2016-01-01,"Scott County, IA",Self Pay,36
2016-01-01,"Woodbury County, IA",Self Pay,29
2016-01-01,"Unidentified Counties, IA",Self Pay,823
2016-01-01,"Douglas County, KS",Self Pay,57
2016-01-01,"Hardin County, KY",Self Pay,24
2016-01-01,"Bossier Parish, LA",Self Pay,21
2016-01-01,"Caddo Parish, LA",Self Pay,71
2016-01-01,"Calcasieu Parish, LA",Self Pay,42
2016-01-01,"East Baton Rouge Parish, LA",Self Pay,64
2016-01-01,"Jefferson Parish, LA",Self Pay,67
2016-01-01,"Lafayette Parish, LA",Self Pay,37
2016-01-01,"Livingston Parish, LA",Self Pay,14
2016-01-01,"Orleans Parish, LA",Self Pay,39
2016-01-01,"Ouachita Parish, LA",Self Pay,23
2016-01-01,"Rapides Parish, LA",Self Pay,10
2016-01-01,"Tangipahoa Parish, LA",Self Pay,16
2016-01-01,"Unidentified Counties, LA",Self Pay,167
2016-01-01,"Cumberland County, ME",Self Pay,89
2016-01-01,"Kennebec County, ME",Self Pay,36
2016-01-01,"Penobscot County, ME",Self Pay,56
2016-01-01,"Unidentified Counties, ME",Self Pay,214
2016-01-01,"Carroll County, MD",Self Pay,26
2016-01-01,"Montgomery County, MD",Self Pay,308
2016-01-01,"Barnstable County, MA",Self Pay,13
2016-01-01,"Berkshire County, MA",Self Pay,14
2016-01-01,"Bristol County, MA",Self Pay,20
2016-01-01,"Hampshire County, MA",Self Pay,11
2016-01-01,"Middlesex County, MA",Self Pay,132
2016-01-01,"Norfolk County, MA",Self Pay,59
2016-01-01,"Worcester County, MA",Self Pay,47
2016-01-01,"Unidentified Counties, MA",Self Pay,17
2016-01-01,"Berrien County, MI",Self Pay,17
2016-01-01,"Eaton County, MI",Self Pay,23
2016-01-01,"Ingham County, MI",Self Pay,32
2016-01-01,"Kent County, MI",Self Pay,291
2016-01-01,"Livingston County, MI",Self Pay,29
2016-01-01,"Macomb County, MI",Self Pay,60
2016-01-01,"Washtenaw County, MI",Self Pay,57
2016-01-01,"Unidentified Counties, MI",Self Pay,556
2016-01-01,"Dakota County, MN",Self Pay,85
2016-01-01,"Olmsted County, MN",Self Pay,29
2016-01-01,"Ramsey County, MN",Self Pay,146
2016-01-01,"St. Louis County, MN",Self Pay,60
2016-01-01,"Scott County, MN",Self Pay,35
2016-01-01,"Stearns County, MN",Self Pay,55
2016-01-01,"Wright County, MN",Self Pay,38
2016-01-01,"Hinds County, MS",Self Pay,72
2016-01-01,"Jackson County, MS",Self Pay,62
2016-01-01,"Greene County, MO",Self Pay,167
2016-01-01,"Jackson County, MO",Self Pay,359
2016-01-01,"Jefferson County, MO",Self Pay,21
2016-01-01,"St. Charles County, MO",Self Pay,33
2016-01-01,"Missoula County, MT",Self Pay,41
2016-01-01,"Douglas County, NE",Self Pay,395
2016-01-01,"Merrimack County, NH",Self Pay,22
2016-01-01,"Rockingham County, NH",Self Pay,31
2016-01-01,"Strafford County, NH",Self Pay,27
2016-01-01,"Unidentified Counties, NH",Self Pay,72
2016-01-01,"Burlington County, NJ",Self Pay,127
2016-01-01,"Sussex County, NJ",Self Pay,31
2016-01-01,"Warren County, NJ",Self Pay,23
2016-01-01,"Albany County, NY",Self Pay,20
2016-01-01,"Chautauqua County, NY",Self Pay,60
2016-01-01,"Erie County, NY",Self Pay,98
2016-01-01,"Jefferson County, NY",Self Pay,12
2016-01-01,"Nassau County, NY",Self Pay,114
2016-01-01,"Niagara County, NY",Self Pay,19
2016-01-01,"Oneida County, NY",Self Pay,46
2016-01-01,"Onondaga County, NY",Self Pay,18
2016-01-01,"Ontario County, NY",Self Pay,32
2016-01-01,"St. Lawrence County, NY",Self Pay,54
2016-01-01,"Suffolk County, NY",Self Pay,134
2016-01-01,"Westchester County, NY",Self Pay,34
2016-01-01,"Unidentified Counties, NY",Self Pay,728
2016-01-01,"Brunswick County, NC",Self Pay,32
2016-01-01,"Buncombe County, NC",Self Pay,67
2016-01-01,"Cumberland County, NC",Self Pay,64
2016-01-01,"Harnett County, NC",Self Pay,67
2016-01-01,"Iredell County, NC",Self Pay,112
2016-01-01,"Pitt County, NC",Self Pay,46
2016-01-01,"Unidentified Counties, ND",Self Pay,249
2016-01-01,"Allen County, OH",Self Pay,34
2016-01-01,"Ashtabula County, OH",Self Pay,96
2016-01-01,"Delaware County, OH",Self Pay,57
2016-01-01,"Licking County, OH",Self Pay,116
2016-01-01,"Medina County, OH",Self Pay,69
2016-01-01,"Miami County, OH",Self Pay,20
2016-01-01,"Richland County, OH",Self Pay,107
2016-01-01,"Wayne County, OH",Self Pay,393
2016-01-01,"Unidentified Counties, OH",Self Pay,2838
2016-01-01,"Canadian County, OK",Self Pay,35
2016-01-01,"Oklahoma County, OK",Self Pay,264
2016-01-01,"Unidentified Counties, OK",Self Pay,463
2016-01-01,"Clackamas County, OR",Self Pay,98
2016-01-01,"Deschutes County, OR",Self Pay,41
2016-01-01,"Douglas County, OR",Self Pay,27
2016-01-01,"Jackson County, OR",Self Pay,54
2016-01-01,"Lane County, OR",Self Pay,70
2016-01-01,"Linn County, OR",Self Pay,41
2016-01-01,"Marion County, OR",Self Pay,70
2016-01-01,"Multnomah County, OR",Self Pay,164
2016-01-01,"Washington County, OR",Self Pay,96
2016-01-01,"Unidentified Counties, OR",Self Pay,263
2016-01-01,"Adams County, PA",Self Pay,39
2016-01-01,"Beaver County, PA",Self Pay,14
2016-01-01,"Berks County, PA",Self Pay,246
2016-01-01,"Blair County, PA",Self Pay,51
2016-01-01,"Butler County, PA",Self Pay,14
2016-01-01,"Cambria County, PA",Self Pay,13
2016-01-01,"Centre County, PA",Self Pay,127
2016-01-01,"Chester County, PA",Self Pay,366
2016-01-01,"Cumberland County, PA",Self Pay,172
2016-01-01,"Dauphin County, PA",Self Pay,101
2016-01-01,"Delaware County, PA",Self Pay,52
2016-01-01,"Franklin County, PA",Self Pay,222
2016-01-01,"Lancaster County, PA",Self Pay,1755
2016-01-01,"Lebanon County, PA",Self Pay,232
2016-01-01,"Lycoming County, PA",Self Pay,35
2016-01-01,"Mercer County, PA",Self Pay,91
2016-01-01,"Montgomery County, PA",Self Pay,133
2016-01-01,"Schuylkill County, PA",Self Pay,47
2016-01-01,"Washington County, PA",Self Pay,10
2016-01-01,"Westmoreland County, PA",Self Pay,13
2016-01-01,"York County, PA",Self Pay,144
2016-01-01,"Unidentified Counties, PA",Self Pay,1491
2016-01-01,"Providence County, RI",Self Pay,74
2016-01-01,"Aiken County, SC",Self Pay,43
2016-01-01,"Dorchester County, SC",Self Pay,18
2016-01-01,"York County, SC",Self Pay,94
2016-01-01,"Pennington County, SD",Self Pay,37
2016-01-01,"Blount County, TN",Self Pay,11
2016-01-01,"Knox County, TN",Self Pay,47
2016-01-01,"Rutherford County, TN",Self Pay,37
2016-01-01,"Sumner County, TN",Self Pay,15
2016-01-01,"Williamson County, TN",Self Pay,62
2016-01-01,"Brazos County, TX",Self Pay,56
2016-01-01,"Dallas County, TX",Self Pay,6226
2016-01-01,"Grayson County, TX",Self Pay,44
2016-01-01,"Kaufman County, TX",Self Pay,95
2016-01-01,"Midland County, TX",Self Pay,170
2016-01-01,"Montgomery County, TX",Self Pay,273
2016-01-01,"Taylor County, TX",Self Pay,49
2016-01-01,"Tom Green County, TX",Self Pay,41
2016-01-01,"Travis County, TX",Self Pay,493
2016-01-01,"Webb County, TX",Self Pay,557
2016-01-01,"Cache County, UT",Self Pay,87
2016-01-01,"Davis County, UT",Self Pay,252
2016-01-01,"Salt Lake County, UT",Self Pay,741
2016-01-01,"Utah County, UT",Self Pay,634
2016-01-01,"Washington County, UT",Self Pay,143
2016-01-01,"Weber County, UT",Self Pay,157
2016-01-01,"Unidentified Counties, UT",Self Pay,361
2016-01-01,"Chittenden County, VT",Self Pay,16
2016-01-01,"Unidentified Counties, VT",Self Pay,74
2016-01-01,"Chesterfield County, VA",Self Pay,253
2016-01-01,"Alexandria city, VA",Self Pay,40
2016-01-01,"Benton County, WA",Self Pay,36
2016-01-01,"Clark County, WA",Self Pay,49
2016-01-01,"King County, WA",Self Pay,248
2016-01-01,"Kitsap County, WA",Self Pay,19
2016-01-01,"Skagit County, WA",Self Pay,12
2016-01-01,"Snohomish County, WA",Self Pay,90
2016-01-01,"Spokane County, WA",Self Pay,81
2016-01-01,"Thurston County, WA",Self Pay,30
2016-01-01,"Whatcom County, WA",Self Pay,38
2016-01-01,"Yakima County, WA",Self Pay,20
2016-01-01,"Unidentified Counties, WA",Self Pay,196
2016-01-01,"Kanawha County, WV",Self Pay,30
2016-01-01,"Brown County, WI",Self Pay,19
2016-01-01,"Dane County, WI",Self Pay,59
2016-01-01,"Fond du Lac County, WI",Self Pay,20
2016-01-01,"La Crosse County, WI",Self Pay,13
2016-01-01,"Marathon County, WI",Self Pay,75
2016-01-01,"Outagamie County, WI",Self Pay,45
2016-01-01,"Racine County, WI",Self Pay,28
2016-01-01,"Rock County, WI",Self Pay,30
2016-01-01,"Sheboygan County, WI",Self Pay,20
2016-01-01,"Waukesha County, WI",Self Pay,47
2016-01-01,"Winnebago County, WI",Self Pay,35
2016-01-01,"Unidentified Counties, WI",Self Pay,1236
2016-01-01,"Calhoun County, AL",Private Insurance,519
2016-01-01,"Mobile County, AL",Private Insurance,2123
2016-01-01,"Butte County, CA",Private Insurance,1038
2016-01-01,"Humboldt County, CA",Private Insurance,514
2016-01-01,"Madera County, CA",Private Insurance,581
2016-01-01,"Marin County, CA",Private Insurance,1563
2016-01-01,"San Francisco County, CA",Private Insurance,6647
2016-01-01,"Santa Cruz County, CA",Private Insurance,1331
2016-01-01,"Sonoma County, CA",Private Insurance,2867
2016-01-01,"Clayton County, GA",Private Insurance,808
2016-01-01,"Lowndes County, GA",Private Insurance,438
2016-01-01,"Bossier Parish, LA",Private Insurance,625
2016-01-01,"Caddo Parish, LA",Private Insurance,979
2016-01-01,"Ouachita Parish, LA",Private Insurance,680
2016-01-01,"Androscoggin County, ME",Private Insurance,522
2016-01-01,"Hampshire County, MA",Private Insurance,805
2016-01-01,"Unidentified Counties, MA",Private Insurance,741
2016-01-01,"Bay County, MI",Private Insurance,569
2016-01-01,"Saginaw County, MI",Private Insurance,883
2016-01-01,"Olmsted County, MN",Private Insurance,1462
2016-01-01,"Hinds County, MS",Private Insurance,932
2016-01-01,"Jackson County, MS",Private Insurance,630
2016-01-01,"Unidentified Counties, MS",Private Insurance,8323
2016-01-01,"Rockingham County, NH",Private Insurance,2159
2016-01-01,"Unidentified Counties, NH",Private Insurance,1672
2016-01-01,"Santa Fe County, NM",Private Insurance,231
2016-01-01,"Tompkins County, NY",Private Insurance,476
2016-01-01,"Harnett County, NC",Private Insurance,517
2016-01-01,"Deschutes County, OR",Private Insurance,898
2016-01-01,"Douglas County, OR",Private Insurance,350
2016-01-01,"Multnomah County, OR",Private Insurance,5381
2016-01-01,"Washington County, OR",Private Insurance,4634
2016-01-01,"Unidentified Counties, OR",Private Insurance,4334
2016-01-01,"Centre County, PA",Private Insurance,891
2016-01-01,"Rutherford County, TN",Private Insurance,2141
2016-01-01,"Ector County, TX",Private Insurance,946
2016-01-01,"El Paso County, TX",Private Insurance,3220
2016-01-01,"Gregg County, TX",Private Insurance,630
2016-01-01,"Hidalgo County, TX",Private Insurance,2247
2016-01-01,"Webb County, TX",Private Insurance,830
2016-01-01,"Unidentified Counties, VT",Private Insurance,1974
2016-01-01,"Clark County, WA",Private Insurance,3071
2016-01-01,"Cowlitz County, WA",Private Insurance,783
2016-01-01,"Skagit County, WA",Private Insurance,631
2016-01-01,"Whatcom County, WA",Private Insurance,1272
2016-01-01,"Kanawha County, WV",Private Insurance,828
2016-01-01,"Unidentified Counties, AL",Unknown or Not Stated,16
2016-01-01,"Benton County, AR",Unknown or Not Stated,13
2016-01-01,"Faulkner County, AR",Unknown or Not Stated,77
2016-01-01,"Pulaski County, AR",Unknown or Not Stated,869
2016-01-01,"Sebastian County, AR",Unknown or Not Stated,16
2016-01-01,"Washington County, AR",Unknown or Not Stated,29
